option_type,n_simulations,mc_price,standard_error,ci_lower,ci_upper,black_scholes_price,absolute_error
call,1000,9.911979607280376,0.4483452815806033,9.033239002743924,10.790720211816828,10.450583572185565,0.5386039649051888
call,5000,10.307306864996919,0.2052112351535787,9.905100234872926,10.709513495120913,10.450583572185565,0.1432767071886456
call,10000,10.524881627806145,0.14847214882039586,10.233881563410899,10.815881692201392,10.450583572185565,0.07429805562058078
call,50000,10.505189127146169,0.0663197192651677,10.375204865921633,10.635173388370704,10.450583572185565,0.05460555496060415
call,100000,10.405483927914043,0.04645508728386011,10.314433629939012,10.496534225889073,10.450583572185565,0.04509964427152191
call,500000,10.438375698948354,0.020803921828130685,10.39760076142803,10.479150636468678,10.450583572185565,0.01220787323721062
put,1000,6.194941456159505,0.2900520689127801,5.626449847449126,6.763433064869884,5.573526022256971,0.6214154339025342
put,5000,5.44365708478186,0.12011134886488153,5.208243166872166,5.679071002691553,5.573526022256971,0.12986893747511097
put,10000,5.648206502998419,0.08752275364104259,5.476665058034204,5.819747947962634,5.573526022256971,0.07468048074144829
put,50000,5.597237363064665,0.038881417615560056,5.521031184870306,5.673443541259024,5.573526022256971,0.023711340807694548
put,100000,5.5575056013891935,0.0274264632697848,5.503750721157105,5.611260481621282,5.573526022256971,0.01602042086777722
put,500000,5.561691783837624,0.012230896676826577,5.537719666852413,5.585663900822834,5.573526022256971,0.011834238419346832
